dwl_peak_freq,dwl_peak_prom,dwl_max_psd,dwl_bytes_avg,dwl_bytes_std,dwl_peak_avg,dwl_peak_std,upl_peak_freq,upl_peak_prom,upl_max_psd,upl_bytes_avg,upl_bytes_std,upl_peak_avg,upl_peak_std,dwl_time_peak,dwl_num_peak,resolution
0.2982456140350877,380579.3570753187,351329.0610613981,72892.2602739726,203957.29631466256,896.0,1055.8906193351659,0.2978723404255319,24668.127368862337,23956.945544383754,5863.1164383561645,15579.513127211732,972.0,1181.301189367047,-1.0,0.0,0
0.12017167381974249,209533.90852665436,199295.73873476643,30101.308724832215,148313.52603962796,1584.2,1437.1373490380104,0.2689075630252101,16564.278468528897,16071.943668554159,2884.818791946309,11467.508173916483,1235.5714285714287,1295.47970785705,-1.0,0.0,0
0.3644067796610169,216467.45723320846,192007.36541787413,51701.04301075269,203773.96968636624,1620.0,1536.6661315978822,0.26778242677824265,10893.472664514027,10002.525102849177,2961.978494623656,9485.32355287701,1380.1666666666667,1543.7630881136595,-1.0,1.0,0
0.09734513274336283,221226.9140090293,211308.59864440313,50275.19047619047,186330.24772254407,1584.2,1506.6063055755476,0.20264317180616742,9856.270033142908,8651.69044511484,3646.7380952380954,11243.36726180315,1320.1666666666667,1326.8238286306973,-1.0,0.0,0
0.13392857142857142,197065.60358020946,186634.53426556534,64102.541666666664,187533.24939260306,1760.142857142857,1513.3873480725688,0.10256410256410257,14574.71283867565,13675.789397654538,5021.208333333333,14404.471919374266,1760.142857142857,1513.3873480725688,-1.0,0.0,0
0.2672413793103448,193102.13250961975,181255.42545730504,48510.47191011236,187637.18164855623,2080.8,1872.5942860107205,0.10256410256410257,9219.488392805499,8253.043965250594,2941.247191011236,9798.340358529767,2080.8,1872.5942860107205,-1.0,0.0,0
0.1497797356828194,178508.32116886528,169907.0987181552,50031.0,163335.85882241325,1540.125,1882.4900024634926,0.14285714285714285,12114.527463939023,11834.17882928055,3191.691489361702,7915.9447535333,1232.1,1599.9912781012276,-1.0,0.0,0
0.1021276595744681,211854.93443900495,188239.4642962198,59978.470588235294,173889.41253308684,1209.142857142857,1195.129811069125,0.1021276595744681,12027.504431962849,10923.53020998906,3802.3823529411766,10397.777504364902,1380.1666666666667,1208.9859961508607,-1.0,0.0,0
0.43555555555555553,215156.33094423625,198377.90031169326,41881.38202247191,161939.12244243856,1960.2,1750.2722531080701,0.8451882845188283,11190.843763844094,10456.093814018435,2733.2921348314608,7758.408841853712,1633.5,1392.9931502583445,-1.0,0.0,0
0.4195121951219512,199566.0985731155,188297.43113361433,41752.357142857145,170647.87767891784,1734.0,1709.9128632769566,0.19574468085106383,9991.455000973276,9339.572982422307,2932.5178571428573,10650.708652632104,1734.0,1709.9128632769566,-1.0,0.0,0
