Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts,packet_times,packet_sizes,packet_dirs
1613276296,192.168.1.192,58804,137.110.0.69,443,17,241,237,2,2,1613276296897;1613276296924;1613276296952;1613276296998;,135;106;131;106;,1;2;2;1;
1613276297,192.168.1.192,58804,137.110.0.69,443,17,5500,41776,34,51,1613276297130;1613276297130;1613276297131;1613276297131;1613276297152;1613276297152;1613276297153;1613276297153;1613276297159;1613276297159;1613276297160;1613276297168;1613276297168;1613276297168;1613276297671;1613276297671;1613276297683;1613276297683;1613276297692;1613276297692;1613276297692;1613276297696;1613276297696;1613276297696;1613276297696;1613276297696;1613276297696;1613276297697;1613276297697;1613276297697;1613276297698;1613276297698;1613276297698;1613276297699;1613276297699;1613276297702;1613276297702;1613276297702;1613276297702;1613276297702;1613276297702;1613276297702;1613276297702;1613276297703;1613276297705;1613276297705;1613276297705;1613276297705;1613276297705;1613276297705;1613276297705;1613276297706;1613276297706;1613276297707;1613276297709;1613276297709;1613276297709;1613276297709;1613276297709;1613276297709;1613276297709;1613276297710;1613276297710;1613276297715;1613276297715;1613276297715;1613276297715;1613276297715;1613276297715;1613276297715;1613276297715;1613276297715;1613276297715;1613276297715;1613276297716;1613276297733;1613276297743;1613276297894;1613276297919;1613276297951;1613276297951;1613276297951;1613276297952;1613276297952;1613276297978;,106;106;106;106;106;106;106;106;137;106;106;137;106;106;255;145;449;145;106;106;145;228;1366;1366;106;1366;106;1366;1366;106;1366;1366;1366;106;106;1366;1366;1366;1366;1366;1366;106;106;106;1366;353;106;106;106;145;145;217;106;1366;1366;1366;1366;1366;106;1366;1366;106;106;1366;1366;1366;1366;1366;1366;357;106;106;106;106;145;106;106;1315;106;255;137;145;106;145;106;,1;1;1;1;2;2;1;1;2;2;1;2;2;1;1;1;1;1;2;2;2;2;2;2;1;2;1;2;2;1;2;2;2;1;1;2;2;2;2;2;2;1;1;1;2;2;2;2;1;2;1;2;1;2;2;2;2;2;1;2;2;1;1;2;2;2;2;2;2;2;1;1;1;1;1;2;2;1;2;2;2;2;1;1;2;
1613276297,192.168.1.192,62925,172.217.4.144,443,6,0,183,0,1,1613276297711;,183;,2;
1613276297,192.168.1.192,63081,137.110.0.69,443,6,77,117,1,2,1613276297909;1613276297967;1613276297968;,77;40;77;,1;2;2;
1613276298,192.168.1.192,63081,137.110.0.69,443,6,40,0,1,0,1613276298019;,40;,1;
1613276298,192.168.1.192,58804,137.110.0.69,443,17,231,0,1,0,1613276298562;,231;,1;
1613276299,192.168.1.192,58804,137.110.0.69,443,17,1515,915,5,7,1613276299097;1613276299131;1613276299906;1613276299906;1613276299906;1613276299906;1613276299907;1613276299907;1613276299907;1613276299916;1613276299929;1613276299940;,107;118;158;137;145;145;106;118;145;1039;106;106;,1;2;2;2;2;2;1;1;1;1;2;2;
1613276300,192.168.1.192,58804,137.110.0.69,443,17,106,628,1,2,1613276300133;1613276300133;1613276300133;,470;158;106;,2;2;1;
1613276301,192.168.1.192,58804,137.110.0.69,443,17,400,106,2,1,1613276301572;1613276301695;1613276301773;,231;169;106;,1;1;2;
1613276302,192.168.1.240,5353,224.0.0.251,5353,17,143,0,1,0,1613276302258;,143;,1;
1613276302,FE80::1074:3E50:1DE:3939,5353,FF02::FB,5353,17,163,0,1,0,1613276302258;,163;,1;
1613276302,192.168.1.192,58804,137.110.0.69,443,17,980,790,4,6,1613276302721;1613276302750;1613276302776;1613276302776;1613276302776;1613276302777;1613276302777;1613276302806;1613276302866;1613276302887;,622;106;178;137;145;106;145;106;107;118;,1;2;2;2;2;1;1;2;1;2;
1613276303,192.168.1.240,5353,224.0.0.251,5353,17,265,0,2,0,1613276303180;1613276303282;,128;137;,1;1;
1613276303,FE80::1074:3E50:1DE:3939,5353,FF02::FB,5353,17,305,0,2,0,1613276303180;1613276303282;,148;157;,1;1;
1613276303,192.168.1.192,58804,137.110.0.69,443,17,214,236,2,2,1613276303462;1613276303484;1613276303798;1613276303830;,107;118;107;118;,1;2;1;2;
1613276303,FE80::A608:F5FF:FE6C:3BA6,0,FF02::1,0,58,96,0,1,0,1613276303794;,96;,1;
1613276304,192.168.1.192,58804,137.110.0.69,443,17,606,118,3,1,1613276304292;1613276304381;1613276304583;1613276304684;,107;118;231;268;,1;2;1;1;
1613276304,192.168.1.240,5353,224.0.0.251,5353,17,137,0,1,0,1613276304410;,137;,1;
1613276304,FE80::1074:3E50:1DE:3939,5353,FF02::FB,5353,17,157,0,1,0,1613276304410;,157;,1;
1613276305,192.168.1.192,58804,137.110.0.69,443,17,268,0,1,0,1613276305684;,268;,1;
1613276306,192.168.1.240,5353,224.0.0.251,5353,17,174,0,1,0,1613276306254;,174;,1;
