Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts,packet_times,packet_sizes,packet_dirs
1607311577,192.168.0.12,5353,224.0.0.251,5353,17,445,0,3,0,1607311577417;1607311577419;1607311577429;,67;189;189;,1;1;1;
1607311577,192.168.0.12,60354,224.0.0.252,5355,17,61,0,1,0,1607311577419;,61;,1;
1607311577,192.168.0.12,61043,224.0.0.252,5355,17,61,0,1,0,1607311577429;,61;,1;
1607311577,192.168.0.21,0,224.0.0.252,0,2,64,0,2,0,1607311577721;1607311577735;,32;32;,1;1;
1607311577,192.168.0.21,5353,224.0.0.251,5353,17,512,0,4,0,1607311577721;1607311577729;1607311577735;1607311577740;,67;189;67;189;,1;1;1;1;
1607311577,FE80::4482:C85D:EAD4:BF52,5353,FF02::FB,5353,17,505,0,3,0,1607311577724;1607311577731;1607311577742;,87;209;209;,1;1;1;
1607311577,FE80::4482:C85D:EAD4:BF52,55198,FF02::1:3,5355,17,81,0,1,0,1607311577724;,81;,1;
1607311577,192.168.0.21,55198,224.0.0.252,5355,17,61,0,1,0,1607311577729;,61;,1;
1607311577,FE80::4482:C85D:EAD4:BF52,52910,FF02::1:3,5355,17,81,0,1,0,1607311577740;,81;,1;
1607311578,192.168.0.10,63300,137.110.0.69,443,17,25712,412287,168,319,1607311578000;1607311578000;1607311578000;1607311578003;1607311578005;1607311578033;1607311578047;1607311578047;1607311578074;1607311578079;1607311578079;1607311578108;1607311578108;1607311578108;1607311578108;1607311578108;1607311578108;1607311578108;1607311578108;1607311578108;1607311578108;1607311578108;1607311578109;1607311578109;1607311578109;1607311578109;1607311578113;1607311578113;1607311578113;1607311578113;1607311578113;1607311578113;1607311578113;1607311578113;1607311578113;1607311578113;1607311578113;1607311578113;1607311578113;1607311578113;1607311578113;1607311578113;1607311578113;1607311578113;1607311578113;1607311578113;1607311578113;1607311578113;1607311578113;1607311578113;1607311578113;1607311578113;1607311578113;1607311578113;1607311578113;1607311578113;1607311578114;1607311578114;1607311578114;1607311578114;1607311578114;1607311578114;1607311578114;1607311578114;1607311578114;1607311578114;1607311578115;1607311578115;1607311578116;1607311578116;1607311578116;1607311578116;1607311578116;1607311578116;1607311578116;1607311578116;1607311578116;1607311578116;1607311578116;1607311578116;1607311578117;1607311578117;1607311578117;1607311578118;1607311578118;1607311578118;1607311578118;1607311578118;1607311578118;1607311578118;1607311578118;1607311578118;1607311578118;1607311578118;1607311578118;1607311578118;1607311578118;1607311578118;1607311578118;1607311578118;1607311578119;1607311578119;1607311578119;1607311578119;1607311578120;1607311578120;1607311578120;1607311578120;1607311578120;1607311578120;1607311578120;1607311578120;1607311578120;1607311578120;1607311578120;1607311578120;1607311578120;1607311578120;1607311578121;1607311578121;1607311578121;1607311578121;1607311578121;1607311578121;1607311578121;1607311578121;1607311578121;1607311578121;1607311578122;1607311578122;1607311578122;1607311578122;1607311578123;1607311578123;1607311578123;1607311578123;1607311578123;1607311578123;1607311578123;1607311578123;1607311578123;1607311578123;1607311578124;1607311578124;1607311578125;1607311578125;1607311578125;1607311578125;1607311578125;1607311578125;1607311578125;1607311578125;1607311578125;1607311578125;1607311578125;1607311578126;1607311578126;1607311578127;1607311578127;1607311578127;1607311578128;1607311578128;1607311578128;1607311578128;1607311578128;1607311578128;1607311578128;1607311578128;1607311578129;1607311578129;1607311578129;1607311578130;1607311578130;1607311578130;1607311578130;1607311578131;1607311578131;1607311578134;1607311578134;1607311578134;1607311578135;1607311578135;1607311578136;1607311578137;1607311578138;1607311578138;1607311578139;1607311578139;1607311578139;1607311578141;1607311578141;1607311578141;1607311578141;1607311578141;1607311578141;1607311578141;1607311578141;1607311578141;1607311578141;1607311578141;1607311578142;1607311578142;1607311578142;1607311578145;1607311578145;1607311578145;1607311578146;1607311578146;1607311578146;1607311578146;1607311578146;1607311578147;1607311578147;1607311578148;1607311578148;1607311578148;1607311578148;1607311578148;1607311578148;1607311578148;1607311578148;1607311578148;1607311578148;1607311578149;1607311578149;1607311578149;1607311578149;1607311578149;1607311578149;1607311578149;1607311578149;1607311578150;1607311578150;1607311578150;1607311578151;1607311578151;1607311578151;1607311578151;1607311578151;1607311578151;1607311578153;1607311578153;1607311578153;1607311578153;1607311578153;1607311578153;1607311578153;1607311578153;1607311578153;1607311578153;1607311578153;1607311578153;1607311578153;1607311578153;1607311578154;1607311578154;1607311578154;1607311578155;1607311578155;1607311578155;1607311578155;1607311578156;1607311578156;1607311578156;1607311578157;1607311578158;1607311578159;1607311578159;1607311578159;1607311578159;1607311578159;1607311578159;1607311578159;1607311578159;1607311578159;1607311578159;1607311578159;1607311578159;1607311578159;1607311578160;1607311578160;1607311578160;1607311578160;1607311578161;1607311578161;1607311578161;1607311578161;1607311578161;1607311578161;1607311578161;1607311578161;1607311578161;1607311578161;1607311578161;1607311578161;1607311578162;1607311578162;1607311578162;1607311578162;1607311578162;1607311578162;1607311578162;1607311578162;1607311578162;1607311578162;1607311578162;1607311578162;1607311578162;1607311578162;1607311578162;1607311578162;1607311578162;1607311578162;1607311578162;1607311578163;1607311578163;1607311578163;1607311578163;1607311578164;1607311578164;1607311578164;1607311578164;1607311578166;1607311578166;1607311578166;1607311578166;1607311578166;1607311578166;1607311578166;1607311578166;1607311578166;1607311578166;1607311578166;1607311578166;1607311578166;1607311578166;1607311578166;1607311578166;1607311578166;1607311578166;1607311578166;1607311578166;1607311578166;1607311578166;1607311578166;1607311578166;1607311578166;1607311578167;1607311578167;1607311578167;1607311578167;1607311578167;1607311578167;1607311578167;1607311578167;1607311578167;1607311578167;1607311578167;1607311578167;1607311578167;1607311578167;1607311578167;1607311578167;1607311578167;1607311578167;1607311578168;1607311578168;1607311578168;1607311578168;1607311578168;1607311578168;1607311578168;1607311578168;1607311578168;1607311578168;1607311578168;1607311578168;1607311578168;1607311578168;1607311578168;1607311578168;1607311578168;1607311578168;1607311578168;1607311578169;1607311578169;1607311578169;1607311578169;1607311578170;1607311578170;1607311578170;1607311578170;1607311578170;1607311578171;1607311578171;1607311578171;1607311578171;1607311578171;1607311578171;1607311578171;1607311578171;1607311578171;1607311578171;1607311578171;1607311578171;1607311578171;1607311578171;1607311578171;1607311578171;1607311578171;1607311578171;1607311578172;1607311578172;1607311578172;1607311578172;1607311578172;1607311578172;1607311578172;1607311578172;1607311578172;1607311578172;1607311578172;1607311578172;1607311578173;1607311578173;1607311578173;1607311578173;1607311578173;1607311578173;1607311578173;1607311578173;1607311578173;1607311578174;1607311578174;1607311578174;1607311578175;1607311578175;1607311578175;1607311578175;1607311578176;1607311578176;1607311578176;1607311578176;1607311578176;1607311578176;1607311578176;1607311578176;1607311578176;1607311578176;1607311578176;1607311578176;1607311578176;1607311578176;1607311578176;1607311578177;1607311578177;1607311578177;1607311578177;1607311578178;1607311578178;1607311578178;1607311578178;1607311578178;1607311578178;1607311578178;1607311578179;1607311578179;1607311578179;1607311578179;1607311578179;1607311578179;1607311578179;1607311578179;1607311578179;1607311578179;1607311578179;1607311578179;1607311578179;1607311578179;1607311578180;1607311578180;1607311578180;1607311578221;1607311578311;1607311578334;1607311578595;1607311578622;,126;126;126;106;127;138;1366;506;126;1366;280;126;126;1346;1346;1346;1346;1346;1346;1346;1346;1346;126;126;126;126;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346;126;1346;1346;1346;1346;1346;1346;1346;1346;126;126;126;126;126;1346;1346;1346;1346;1346;1346;1346;1346;126;126;126;126;126;1346;1346;1346;1346;1346;126;1346;1346;126;126;1346;1346;1346;1346;1346;1346;1346;126;126;126;126;126;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346;126;126;126;1346;1346;1346;1346;1346;1346;1346;1346;126;126;126;126;1346;1346;126;126;1346;1346;1346;1346;1346;1346;126;126;126;126;1346;1346;1346;1346;1346;1346;1346;126;126;126;126;1366;374;126;126;126;1346;126;1346;1346;914;126;126;126;126;126;126;126;126;126;126;1346;1346;126;1346;1346;126;193;157;165;126;165;1346;1346;1346;1346;1346;1346;1346;1346;1346;558;126;126;126;126;126;1346;1346;1346;126;1346;914;1346;1346;126;126;1346;1346;1346;1346;1346;1346;1346;1346;126;126;126;1346;1346;1346;1346;1346;126;126;126;126;1346;1346;1346;1346;1346;126;126;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346;126;126;126;126;1346;126;126;126;1346;126;1346;126;1346;1346;1346;126;1346;1346;1346;1346;1346;1346;1346;1346;126;126;126;126;126;1346;1346;1346;1346;1346;1346;1346;1346;1346;647;1346;126;126;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346;126;126;126;126;126;126;126;126;126;126;126;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346;126;126;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346;126;126;126;126;126;1346;1346;1346;1346;1346;1346;1346;126;1346;1346;1346;1346;1346;1346;1346;126;126;126;126;126;126;126;126;126;126;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346;126;126;126;126;126;1346;1346;1346;1346;1346;1346;1346;1346;1346;126;126;1346;126;1346;1346;1346;1346;1346;1346;126;126;126;126;126;126;126;126;126;126;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346;126;126;126;126;126;126;126;126;1346;1346;1346;126;126;1346;1346;1346;1346;1346;1346;1346;1346;1097;126;126;126;126;126;126;126;126;126;127;138;127;138;,1;1;1;2;1;2;1;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;1;1;1;1;2;2;2;2;2;2;2;2;1;1;1;1;1;2;2;2;2;2;1;2;2;1;1;2;2;2;2;2;2;2;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;2;2;2;2;2;2;1;1;1;1;2;2;1;1;2;2;2;2;2;2;1;1;1;1;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;2;1;2;2;2;1;1;1;1;1;1;1;1;1;1;2;2;1;2;2;1;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;2;2;2;1;2;2;2;2;1;1;2;2;2;2;2;2;2;2;1;1;1;2;2;2;2;2;1;1;1;1;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;2;1;1;1;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;2;2;2;2;2;2;2;2;2;1;1;2;1;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;2;1;2;
