Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts,packet_times,packet_sizes,packet_dirs
1610496488,FE80::10E7:E756:B20C:9E0A,5353,FF02::FB,5353,17,172,0,1,0,1610496488747;,172;,1;
1610496488,192.168.1.192,53659,137.110.0.69,443,6,118,169,1,2,1610496488944;1610496488972;1610496488982;,118;40;129;,1;2;2;
1610496489,192.168.1.192,53659,137.110.0.69,443,6,370,253,4,3,1610496489036;1610496489178;1610496489199;1610496489349;1610496489398;1610496489398;1610496489414;,40;173;40;173;40;117;40;,1;1;2;2;1;1;2;
1610496491,192.168.1.192,53659,137.110.0.69,443,6,220,157,2,2,1610496491284;1610496491313;1610496491374;1610496491424;,180;40;117;40;,1;2;2;1;
1610496492,192.168.1.192,53659,137.110.0.69,443,6,2500,1957,11,14,1610496492174;1610496492188;1610496492192;1610496492206;1610496492208;1610496492209;1610496492209;1610496492229;1610496492229;1610496492230;1610496492230;1610496492230;1610496492272;1610496492272;1610496492272;1610496492275;1610496492275;1610496492275;1610496492276;1610496492276;1610496492289;1610496492294;1610496492294;1610496492305;1610496492305;,306;138;40;40;532;1350;156;40;40;194;40;156;297;40;117;148;156;40;117;156;40;40;40;194;40;,1;1;2;2;2;1;1;2;2;2;1;2;2;1;1;2;2;1;1;1;2;2;2;2;1;
1610496495,192.168.1.240,5353,224.0.0.251,5353,17,137,0,1,0,1610496495507;,137;,1;
1610496495,FE80::10E7:E756:B20C:9E0A,5353,FF02::FB,5353,17,157,0,1,0,1610496495510;,157;,1;
1610496496,192.168.1.240,5353,224.0.0.251,5353,17,137,0,1,0,1610496496529;,137;,1;
1610496496,FE80::10E7:E756:B20C:9E0A,5353,FF02::FB,5353,17,157,0,1,0,1610496496529;,157;,1;
1610496497,192.168.1.240,5353,224.0.0.251,5353,17,140,0,1,0,1610496497757;,140;,1;
1610496497,FE80::10E7:E756:B20C:9E0A,5353,FF02::FB,5353,17,160,0,1,0,1610496497758;,160;,1;
1610496497,192.168.1.192,53659,137.110.0.69,443,6,157,209,2,2,1610496497844;1610496497885;1610496497885;1610496497909;,169;40;117;40;,2;1;1;2;
1610496499,192.168.1.192,53659,137.110.0.69,443,6,882,1002,8,10,1610496499179;1610496499192;1610496499192;1610496499203;1610496499212;1610496499213;1610496499242;1610496499242;1610496499242;1610496499242;1610496499243;1610496499243;1610496499243;1610496499267;1610496499356;1610496499397;1610496499397;1610496499415;,173;199;156;40;40;40;117;117;156;40;239;40;117;40;173;40;117;40;,1;1;1;2;2;2;2;2;2;1;2;1;1;2;2;1;1;2;
1610496499,192.168.1.240,5353,224.0.0.251,5353,17,137,0,1,0,1610496499499;,137;,1;
1610496499,FE80::10E7:E756:B20C:9E0A,5353,FF02::FB,5353,17,157,0,1,0,1610496499499;,157;,1;
